catalog_id,title,priority,reason
402,2006독일축구,lower,User deleted thumbnail
403,2006영혼낚시,normal,User retained thumbnail
404,2006월드올림픽,lower,User deleted thumbnail
406,2007루노베이스볼,lower,User deleted thumbnail
197,MR.때밀이왕,lower,User deleted thumbnail
389,SBS 포트리스2,normal,User retained thumbnail
409,SIM 헤어디자이너,normal,User retained thumbnail
420,간호사 타이쿤,normal,User retained thumbnail
3,강철의 연금술사,normal,User retained thumbnail
423,강호동맞고2,incompatible-skip,Previously classified incompatible; testing stopped
7,게임빌 2006프로야구,normal,User retained thumbnail
430,게임팩25,normal,User retained thumbnail
223,겟앰프드,normal,User retained thumbnail
429,고촌치킨,lower,User deleted thumbnail
11,광란의 수족관,lower,User deleted thumbnail
392,광수의 똥!생각,lower,User deleted thumbnail
12,궁 맞고,lower,User deleted thumbnail
8,귀신사냥2007,lower,User deleted thumbnail
13,귀혼-무사편,normal,User retained thumbnail
9,길거리농구3,lower,User deleted thumbnail
14,논스톱 액션 고고씽,lower,User deleted thumbnail
15,놈투,normal,User retained thumbnail
382,다마고치M,normal,User retained thumbnail
17,다이어트 타이쿤,normal,User retained thumbnail
18,다이하드 4.0,normal,User retained thumbnail
19,다크사이드 스토리 M,normal,User retained thumbnail
20,다크슬레이어2,normal,User retained thumbnail
21,대물낚시광2,normal,User retained thumbnail
23,대통령 타이쿤,normal,User retained thumbnail
24,더팜1,normal,User retained thumbnail
25,더팜2,normal,User retained thumbnail
27,던전앤파이터-거너편,normal,User retained thumbnail
26,던전앤파이터-격투가편,normal,User retained thumbnail
28,던전앤히어로,normal,User retained thumbnail
30,데빌헌터,lower,User deleted thumbnail
31,도신 노홍철맞고,lower,User deleted thumbnail
33,동전쌓기 에볼루션,normal,User retained thumbnail
34,두뇌게임Q,normal,User retained thumbnail
35,드래곤나이트EX,normal,User retained thumbnail
36,드래곤로드,normal,User retained thumbnail
37,드래곤아이즈2,normal,User retained thumbnail
38,떡볶이 타이쿤3,normal,User retained thumbnail
39,라이덴3,normal,User retained thumbnail
40,라피스라줄리,normal,User retained thumbnail
41,레드망고 타이쿤,normal,User retained thumbnail
42,렛츠골프2005,lower,User deleted thumbnail
44,로스트 아일랜드,normal,User retained thumbnail
171,루빅스큐브,lower,User deleted thumbnail
45,리듬스타,normal,User retained thumbnail
412,리얼비트,normal,User retained thumbnail
46,리얼사커2007,normal,User retained thumbnail
47,리얼사커2009,normal,User retained thumbnail
48,리얼타짜맞고,normal,User retained thumbnail
428,마린블루스,normal,User retained thumbnail
50,마스터 오브 소드2,normal,User retained thumbnail
51,마스터 오브 소드3,normal,User retained thumbnail
52,마이프린세스2,normal,User retained thumbnail
53,만귀토벌전,normal,User retained thumbnail
55,맞고삼국대전,normal,User retained thumbnail
56,멋지다! 김밥군,normal,User retained thumbnail
57,메르헨전기,normal,User retained thumbnail
410,메이플스토리-궁수편,normal,User retained thumbnail
58,메이플스토리-마법사편,normal,User retained thumbnail
59,메이플스토리-전사편,normal,User retained thumbnail
340,무한의 통통,lower,User deleted thumbnail
61,물가에 돌튕기기2,lower,User deleted thumbnail
62,물가에 돌튕기기3,lower,User deleted thumbnail
63,뮤-흑기사편,normal,User retained thumbnail
445,미궁-미술관 살인사건,normal,User retained thumbnail
71,미니게임레드맨,lower,User deleted thumbnail
68,미니게임의 달인,lower,User deleted thumbnail
64,미니게임천국1,normal,User retained thumbnail
65,미니게임천국2,normal,User retained thumbnail
69,미니게임파티,normal,User retained thumbnail
67,미니게임패밀리,normal,User retained thumbnail
426,미니러비,normal,User retained thumbnail
72,미니미니오락실,normal,User retained thumbnail
74,미니햄스터키우기,normal,User retained thumbnail
160,바이러스,lower,User deleted thumbnail
75,박명수 호통맞고,lower,User deleted thumbnail
76,박정석-영웅탄생,lower,User deleted thumbnail
77,방탈출,lower,User deleted thumbnail
